Trans name,Altamaha_PP48_000107-3_p08
H2,880
hydrogenation/dehydrogenation,870
C_1H_2O1,740
CH6O_1,730
H4,676
C_1O1,613
H6,516
C_1H2O,515
H_4O1,495
CH_4,474
C2H_2O_1,425
C_1H4O,414
H_2C1,413
H_6O1,408
C_1H_4O2,396
C_2H_2O2,393
C_1H_6O2,386
H_2O1,361
C1,351
C_2O2,349
C2O_1,325
methanol (-H2O),318
CH2,316
O1,294
C_2H2O2,293
C2H2O_1,278
C_1H_2O2,269
hydroxylation (-H),265
H8,251
C1H4,234
H2O,234
C2H4O_1,226
C_3H_2O3,222
acetotacetate_(_H2O)_C4H4O2,222
C3H2O_2,213
condensation/dehydration,209
C_1O2,206
CH_2O3,200
C2H6O_1,193
C5H6O1,185
C3H4O_2,183
H4O,183
Formic Acid_(_H2O)_CO,174
CH6,166
Formic Acid (-H2O),165
C2,160
C2H2,160
C_1H2O2,157
C1H2O1,152
C2H8O_1,151
ethyl addition (-H2O),148
H_2C1O1,148
C2H_2,142
ethyl addition_(_H2O)_C2H4,141
H10,141
CH_4O,137
C1H4O1,136
O2,130
H_2O2,130
C3H2O_1,129
H_4O2,126
acetylation (-H2O),117
acetylation_(_H2O)_C2H2O,116
C_1H4O2,113
C3O_1,113
C3H4O_1,110
C3H6O_1,109
C2O1,105
C2H4O1,102
C3H6,101
C3H4,100
Carboxylation_CO2,100
H2O2,99
C2H8,98
C3H2,95
C2H_2O2,93
H4O2,92
C1H_2O2,92
CH_4O2,92
C1H2O2,90
C2H_2O,89
C2H6O1,89
C4H6O1,88
C1H6O1,88
Carboxylation,88
C3,86
C3H4O1,84
C_1O3,82
C1H4O2,80
C4H4O_1,80
C2H8O,78
glyoxylate_(_H2O)_C2O2,78
C4H8O_1,75
C4H6O_1,75
O3,75
C3H8,74
C3H4O2,74
C2H2O2,73
C3H6O1,72
C4H4,72
C3H2O1,71
glyoxylate (-H2O),70
H_2O3,68
C4H2O_1,67
O2H6,67
C4H8O1,64
C4H6O2,63
C4H12O_1,62
C4H4O1,62
C3H6O2,61
C2O3,59
C4H2,59
C4H2O2,59
C4,59
C2H4O2,59
malonyl group (-H2O),57
#N/A-3,56
C5H8,56
C4H6,55
C3H6O3,55
C3H2O2,55
C6H8,54
C5H4O1,54
C5H6O3,54
C12H16O4,52
C5H10O1,51
C4H4O3,51
C5H8O1,51
C2H4O3,50
C5H8O_1,50
C5H4,49
acetotacetate (-H2O),48
C6H8O3,47
C4H8O3,47
C6H10O2,46
C5H4O3,46
C8H12O7,46
C4H4O4,46
O4,45
C5H8O3,45
C6H4,45
C3H4O3,44
C6H10O3,44
C5H8O2,44
C5H6O2,44
C3H4O4,43
C6H6O3,43
CO3,41
C5H4O4,41
C5H4O2,41
C6H4O1,41
C4O3,41
C7H10O3,40
C5H6O4,40
C3O3,40
C6H10O1,40
C7H6O2,39
erythose (-H2O),39
H2O4,39
C4H2O4,39
C5H10O2,39
C6H14,38
C7H8O4,38
CH2O4,37
C4H6O4,37
C4H4O5,37
C6H6O2,37
C4H2O3,36
C6H14O_1,36
C8H8O3,36
C6H4O2,36
C6H8O,36
C2H2O3,35
pentose_C5H8O4,35
C7H10O1,35
C9H10O3,34
C7H12O3,34
C7H8,33
C6H14O1,32
C10H12O3,32
C6H6O5,31
C13H16O3,31
C7H12O4,31
C5H2O2,31
C7H8O1,30
C8H10O1,30
C1H4O3,30
C6H12O4,30
C7H6O3,30
C11H12O3,30
C12H10O4,30
C7H4O2,29
C3H2O5,29
C6H10O4,29
C7H4O6,29
D-Ribose (-H2O) (ribosylation),29
C10H14O1,29
C9H8O2,29
C9H6O5,29
C5H10O4,28
C6H8O5,28
C5H10O5,28
#N/A-2,28
C7H6,28
C10H8O4,28
C8H6O3,28
C8H8O1,27
C11H10O4,27
C6H4O4,27
C2H6O3,27
C6H8O4,27
C10H8O3,27
C6H6O6,27
C9H10O2,27
C8H6O1,27
C9H12O1,27
C7H12O6,26
H2O3,26
C8H6O2,26
C10H12O2,26
C8H8O2,26
C6H10O5,26
C9H6O3,26
C7H12O5,25
C15H22O2,25
C6H8O6,25
C5H6,25
C10H4O5,25
C1H2O3,25
C4H8O2,25
C2H2O4,25
C8H16,25
C14H20O2,24
C9H16O3,24
C8H14O4,24
C10H10O2,24
C2H6O2,24
C6H12O5,24
C8H12,24
C4H8,24
C7H10O5,23
C6H10O6,23
C10H18O1,23
C7H4O4,23
C9H10,22
Glucuronic Acid (-H2O),22
C8H14O1,22
C7H10O4,21
C5O5H8,21
C12H12O2,21
C10H16O1,21
C10H18O4,21
C11H8O4,21
C10H14O3,20
C8H4O3,20
C9H8O1,20
C10H14O2,19
C8H8,19
CH6O2,19
C6H6O8,19
C9H14O1,19
CH_4O3,18
C2H4O4,18
C10H6O2,18
C8H14O6,18
C4H8O5,18
C12H16O2,18
C7H4O1,18
C12H20O3,18
H16,18
C11H8O3,18
C2H6O4,17
C11H6O3,17
C8H4O2,17
CH4_O,17
C3O,17
C7H4,16
C13H10O3,16
glucose_C6H12O6,16
C10H16,16
C6O2,16
C10H12,15
C10H12O1,15
C3H8O1,15
C5H5N_1O1,15
C9H6O2,15
NH_CH2,14
C14H26O2,14
C3H3N_1O4,14
C12_C13,14
C4O,14
C6H12O7,13
C6H8O2,13
C12H24O2,13
C2H3N_1O2,13
H1N1,13
C8H10O_2,13
malonyl_group_(_H2O)_C3H2O3,13
C_1H_1N1,13
C15H26O1,12
H_3Cl1,12
C10H10O1,12
C10H8O1,12
C2O7,12
H_1O2N_1,12
C2HN_1O,11
C2H_6O7,11
C4H2O,11
C4O2,11
C4H10O,11
C6H4O3,11
C3H6O4,11
H4O3,11
C4O8,11
C12H20,10
H3O_1N1,10
CHN_1O2,10
C12H22O1,10
CH_1N_1O,10
C11H6O1,10
C9H6O1,10
C3O2,10
C2H3N1O2,10
C4H3O2N1,10
C15H28O1,10
C11H10,10
C14H26O1,9
H_1Cl1,9
CH3NO,9
C15H22O1,9
H_1N1,9
C5H7N_1,9
CHN_1O,9
H_1O1N_1,9
C1H3Cl1,9
C5H2O,9
C2H2O2S_1,9
Aspartic_Acid_C4H5NO3,9
C3H3N1O1,9
H2O_1S1,9
C5H2O3,8
C4H8O4,8
C3H5N1O_1,8
H_1Cl1O_1,8
N1H_3,8
C2H3N,8
C2H7O1N1,8
H_2S1C1,8
Aspartic Acid,8
Glycine,8
C1H1O1N1,8
Serine,8
C12H8O3,8
C2H5N,8
H3N_1O1,8
Glycine_C2H3NO,8
H_1O_2Cl1,8
C13H20O_1,8
C3H8O3,7
C2H5N1O2,7
C_1H_5N_1O2,7
H1N1O1,7
C2H7N1,7
H5O_1N1,7
H5O1N_1,7
C2H3N1O_2,7
C1H1N1O_1,7
H1O2N_1,7
C2H5N1O1,6
secondary amine,6
C5H3Cl1O_2,6
C3H3O3N1,6
Threonine,6
C10H6O1,6
H_1N1O1,6
Proline_C5H7NO,6
CH3N,6
C7H1N_1O1,6
C3H3N1O2,6
H_1N1O2,6
#N/A-1,6
C3H3N,6
C6H3N1O1,6
C8H13N1,5
O_1S1,5
C7H8O3,5
C5H3Cl1O2,5
C16H28,5
C_1H1N_1S1,5
Proline,5
H3N1,5
Glutamic_Acid_C5H7NO3,5
C_2N_1O1P1,5
H1O1N_1,5
C4H9N1,5
C2H7N1O_1,5
H_2S1,5
C3H7N1,5
C4H9O1N1,5
C2H3Cl_1O2S1,5
C1H3N1O2,5
Threonine_C4H7NO2,5
C4H7N1O1,5
C4H4N1P_1,5
C2H1O1Cl1,5
H1Cl1,5
C5H7N1O2,5
C2H1N1O2,5
C2H3NO_1,5
CH5NO_1,4
C5H9N1,4
Valine_C5H9NO,4
Valine,4
C3H7N1O_1,4
C3H_1N1O_2,4
C13H10O1,4
O1S1,4
C10H10,4
C15H24,4
C11H12O6,4
C3H7N1O2,4
C1H_1N1,4
C5H9N1O2,4
C4H9N1O_2,4
C1H_1N1O_1,4
C15H16O8,4
S1,4
C3H8O4,4
C2H5O_1N1,4
C14H22,4
C15H16O7,4
C3H1N1O_1,4
H2S,4
C4H7N1,3
Glutamic Acid,3
guanine_(_H)_C5H4N5O,3
C4H4O4S_1,3
C12H20O5,3
guanine (-H),3
C10H16O8,3
C5H5N1,3
C6H9N1O3,3
C7H13N1O2,3
C16H24O2,3
C4H3N1,3
C1H4O1S1,3
C5H7N1,3
Alanine,3
O2S1,3
C16H32O1,3
C8H15N1O3,3
C5H11N1O1,3
C7H7O_1N1,3
C1H1N1,3
C6H5Cl1,3
C6H7O1N1,3
C5H1N1O3,3
C7H9N1,3
C6H5N1O1,3
C1H3N1O_1,3
C5H5O3N1,3
C6H9O2N1,3
C1H4O_1S1,3
C6H11N1O2,3
C6H1N1O1,3
C8H9N1O1,3
C5H5N1O1,3
C1H4S1,3
C8H5N1O_1,3
C4H5N1O2,3
H3O4P1,3
H5N1,3
C6H7N1,3
C5H9N1O3,3
C2H5N1,3
C8H15N1O2,2
C12H12O10,2
C10H15O6N1,2
Tyrosine_C9H9NO2,2
C8H13O2N1,2
C4H9O6P1,2
C16H20O3,2
C9H15N1O4,2
C12H20O10,2
C8H9N1O_1,2
adenine_(_H)_C5H4N5,2
phosphate,2
C5H3O2N1,2
C6H5N1O_1,2
C_8H_9N1O1P2S1,2
C7H5N1O1,2
C5H13O_1N1,2
C6H3N1O2,2
Tyrosine,2
C8H11N1,2
Alanine_C3H5NO,2
C6H3N1,2
C4H5N1,2
C8H7N1O1,2
C7H7Cl1,2
C3H3N1O_1,2
C1H4N2O1,2
SO42-,2
H1O2N1,2
C1O_1N2,2
C5H7N1O4,2
C5H3N1O1,2
C2H6S1,2
C1H5N1,2
H2O_1Cl1N1,1
C6H11O6P1,1
O1N1,1
H6N2O_1,1
C8H11N1O6,1
C1H2O_1N2,1
O1H1,1
O_1H4N2,1
H1O1P1S_1,1
H2N2O_1,1
C4H6N1O_2P_1,1
H3,1
C4H11O2Cl2N2P1,1
C7H5N1O3,1
H_3N_3O3,1
C19H28O1,1
Asparagine,1
C12H20O9,1
Histidine,1
C18H10O5,1
C15H12O7,1
C17H18O5,1
C12H20O8,1
C16H12O5,1
C15H8O6,1
C14H15O5N1,1
C19H26O1,1
C8H12O8,1
Isoleucine,1
C18H28O1,1
C18H24O1,1
acetone (-H),1
C15H18O3,1
adenine (-H),1
transamination (-O),1
C4H5N1O_1,1
C18H24,1
H_2N_2O2,1
C3H2N2O_1,1
C9H9N1O4,1
C_1H1O2P1,1
C7H5N1O2,1
Asparagine_C4H6N2O2,1
C8H5N1,1
C4H7O3N1,1
C9H13N1O2,1
C5H13N1O3P1,1
C9H11N1O2,1
C8H5O1N1,1
H7O6P1,1
C6H10O3S1,1
C4H9O3P1,1
C4H11N1O2,1
Histidine_C6H7N3O,1
C2H8O4N1P1,1
C6H9N1O4,1
C8H19N3O_1,1
C1H3O6P1,1
C7H1N1O3,1
C6H11N3O2,1
C6H7N1O4,1
C8H7N1O2,1
C1H1O4P1,1
C4H6O1S1,1
O_1Cl2,1
H1C2N3,1
glcnac_C8H13N1O5,1
acetone_(_H)_C3H5O,1
C1H2N2O1,1
C3H10N2O_1,1
C9H11N1O1,1
H2O2S1,1
C5H7O4P1S1,1
C9H11O2N3,1
C9H7N1O4,1
C3H7O1N1,1
C6H3Cl3,1
H1O3P1,1
C8H13N1O4,1
C1H5O2P1,1
C6H11O_1N1,1
H2O3S1,1
C7H4O4S1,1
C5H12N1,1
H1O4P1,1
H4N1O3P1,1
H1O3S1,1
